NodeID,PacketNo,RSSI,PacketNo,AbsTime
0,-47,868000000,45259,0716665
0,-55,868000000,45005,0716695
0,-43,868000000,45262,0716754
0,-37,868000000,45008,0716783
0,-30,868000000,45265,0716843
0,-27,868000000,45011,0716872
0,-27,868000000,45268,0716931
0,-27,868000000,45014,0716961
0,-34,868000000,45271,0717020
0,-41,868000000,45017,0717049
0,-37,868000000,45274,0717108
0,-35,868000000,45020,0717138
0,-32,868000000,45277,0717197
0,-31,868000000,45023,0717227
0,-32,868000000,45280,0717286
0,-30,868000000,45026,0717315
0,-26,868000000,45283,0717374
0,-27,868000000,45029,0717404
0,-31,868000000,45286,0717463
0,-30,868000000,45032,0717492
0,-30,868000000,45289,0717551
0,-31,868000000,45035,0717581
0,-32,868000000,45292,0717640
0,-30,868000000,45038,0717670
0,-28,868000000,45295,0717729
0,-28,868000000,45041,0717758
0,-30,868000000,45298,0717817
0,-30,868000000,45044,0717847
0,-31,868000000,45301,0717906
0,-36,868000000,45047,0717935
0,-52,868000000,45304,0717995
0,-37,868000000,45050,0718024
0,-45,868000000,45307,0718083
0,-42,868000000,45053,0718113
0,-34,868000000,45310,0718172
0,-33,868000000,45056,0718201
0,-33,868000000,45313,0718260
0,-32,868000000,45059,0718290
0,-45,868000000,45316,0718349
0,-41,868000000,45062,0718379
0,-38,868000000,45319,0718438
0,-41,868000000,45065,0718467
0,-32,868000000,45322,0718526
0,-35,868000000,45068,0718556
0,-30,868000000,45325,0718615
0,-35,868000000,45071,0718644
0,-30,868000000,45328,0718703
0,-35,868000000,45074,0718733
0,-41,868000000,45331,0718792
0,-46,868000000,45077,0718822
0,-31,868000000,45334,0718881
0,-31,868000000,45080,0718910
0,-33,868000000,45337,0718969
0,-30,868000000,45083,0718999
0,-52,868000000,45340,0719058
0,-37,868000000,45086,0719087
0,-50,868000000,45343,0719147
0,-38,868000000,45089,0719176
0,-35,868000000,45346,0719235
0,-34,868000000,45092,0719265
0,-30,868000000,45349,0719324
0,-30,868000000,45095,0719353
0,-34,868000000,45352,0719412
0,-42,868000000,45098,0719442
0,-32,868000000,45355,0719501
0,-32,868000000,45101,0719531
0,-34,868000000,45358,0719590
0,-36,868000000,45104,0719619
0,-40,868000000,45361,0719678
0,-41,868000000,45107,0719708
0,-40,868000000,45364,0719767
0,-40,868000000,45110,0719796
0,-40,868000000,45609,0727034
0,-40,868000000,45355,0727063
0,-40,868000000,45612,0727122
0,-40,868000000,45358,0727152
0,-40,868000000,45615,0727211
0,-40,868000000,45361,0727240
0,-40,868000000,45618,0727300
0,-40,868000000,45364,0727329
0,-40,868000000,45621,0727388
0,-40,868000000,45367,0727418
0,-40,868000000,45624,0727477
0,-40,868000000,45370,0727506
0,-40,868000000,45627,0727565
0,-40,868000000,45373,0727595
0,-40,868000000,45630,0727654
0,-40,868000000,45376,0727684
0,-40,868000000,45633,0727743
0,-40,868000000,45379,0727772
0,-40,868000000,45636,0727831
0,-39,868000000,45382,0727861
0,-39,868000000,45639,0727920
0,-39,868000000,45385,0727949
0,-39,868000000,45642,0728008
0,-39,868000000,45388,0728038
0,-39,868000000,45645,0728097
0,-39,868000000,45390,0728127
0,-39,868000000,45647,0728186
0,-39,868000000,45393,0728215
0,-39,868000000,45650,0728274
0,-39,868000000,45396,0728304
0,-39,868000000,45653,0728363
0,-39,868000000,45399,0728393
0,-39,868000000,45656,0728452
0,-39,868000000,45402,0728481
0,-39,868000000,45659,0728540
0,-39,868000000,45405,0728570
0,-39,868000000,45662,0728629
0,-39,868000000,45408,0728658
0,-39,868000000,45665,0728717
0,-39,868000000,45411,0728747
0,-39,868000000,45668,0728806
0,-39,868000000,45414,0728836
0,-39,868000000,45671,0728895
0,-39,868000000,45417,0728924
0,-39,868000000,45674,0728983
0,-39,868000000,45420,0729013
0,-39,868000000,45677,0729072
0,-39,868000000,45423,0729101
0,-39,868000000,45680,0729161
0,-39,868000000,45426,0729190
0,-39,868000000,45683,0729249
0,-39,868000000,45429,0729279
0,-39,868000000,45686,0729338
0,-39,868000000,45432,0729367
0,-39,868000000,45689,0729426
0,-39,868000000,45435,0729456
0,-39,868000000,45692,0729515
0,-39,868000000,45438,0729545
0,-39,868000000,45695,0729604
0,-39,868000000,45441,0729633
0,-39,868000000,45698,0729692
0,-39,868000000,45444,0729722
0,-39,868000000,45701,0729781
0,-39,868000000,45447,0729810
0,-39,868000000,45704,0729869
0,-39,868000000,45450,0729899
0,-39,868000000,45707,0729958
0,-39,868000000,45453,0729988
0,-40,868000000,45710,0730047
0,-39,868000000,45456,0730076
0,-39,868000000,45713,0730135
0,-39,868000000,45459,0730165
0,-39,868000000,45716,0730224
0,-39,868000000,45462,0730253
0,-39,868000000,45719,0730313
0,-39,868000000,45465,0730342
0,-39,868000000,45722,0730401
0,-39,868000000,45468,0730431
0,-39,868000000,45725,0730490
0,-39,868000000,45471,0730519
0,-39,868000000,45728,0730578
0,-39,868000000,45474,0730608
0,-39,868000000,45731,0730667
0,-39,868000000,45477,0730697
0,-39,868000000,45734,0730756
0,-39,868000000,45480,0730785
0,-39,868000000,45737,0730844
0,-39,868000000,45483,0730874
0,-39,868000000,45740,0730933
0,-39,868000000,45486,0730962
0,-39,868000000,45743,0731021
0,-39,868000000,45489,0731051
0,-39,868000000,45746,0731110
0,-39,868000000,45492,0731140
0,-39,868000000,45749,0731199
0,-39,868000000,45495,0731228
0,-39,868000000,45752,0731287
0,-39,868000000,45498,0731317
0,-39,868000000,45755,0731376
0,-39,868000000,45501,0731406
0,-39,868000000,45758,0731465
0,-39,868000000,45504,0731494
0,-39,868000000,45761,0731553
0,-39,868000000,45507,0731583
0,-39,868000000,45764,0731642
0,-39,868000000,45510,0731671
0,-39,868000000,45767,0731730
0,-39,868000000,45513,0731760
0,-39,868000000,45770,0731819
0,-39,868000000,45516,0731849
0,-39,868000000,45773,0731908
0,-39,868000000,45519,0731937
0,-39,868000000,45776,0731996
0,-39,868000000,45522,0732026
0,-39,868000000,45779,0732085
0,-39,868000000,45525,0732114
0,-39,868000000,45782,0732174
0,-39,868000000,45528,0732203
0,-39,868000000,45785,0732262
0,-39,868000000,45531,0732292
0,-39,868000000,45788,0732351
0,-39,868000000,45534,0732380
0,-39,868000000,45791,0732439
0,-39,868000000,45537,0732469
0,-39,868000000,45794,0732528
0,-39,868000000,45540,0732558
0,-40,868000000,46003,0738731
0,-39,868000000,45749,0738761
0,-40,868000000,46006,0738820
0,-40,868000000,45752,0738849
0,-39,868000000,46009,0738909
0,-39,868000000,45755,0738938
0,-40,868000000,46012,0738997
0,-39,868000000,45758,0739027
0,-39,868000000,46015,0739086
0,-40,868000000,45761,0739115
0,-40,868000000,46018,0739174
0,-39,868000000,45764,0739204
0,-39,868000000,46021,0739263
0,-40,868000000,45767,0739293
0,-40,868000000,46024,0739352
0,-39,868000000,45770,0739381
0,-40,868000000,46027,0739440
0,-39,868000000,45773,0739470
0,-39,868000000,46030,0739529
0,-39,868000000,45776,0739558
0,-40,868000000,46033,0739617
0,-39,868000000,45779,0739647
0,-39,868000000,46036,0739706
0,-39,868000000,45782,0739736
0,-40,868000000,46039,0739795
0,-39,868000000,45785,0739824
0,-39,868000000,46042,0739883
0,-40,868000000,45788,0739913
0,-40,868000000,46045,0739972
0,-39,868000000,45791,0740001
0,-39,868000000,46048,0740061
0,-39,868000000,45794,0740090
0,-39,868000000,46051,0740149
0,-40,868000000,45797,0740179
0,-40,868000000,46054,0740238
0,-39,868000000,45800,0740267
0,-39,868000000,46057,0740326
0,-40,868000000,45803,0740356
0,-40,868000000,46060,0740415
0,-39,868000000,45806,0740445
0,-39,868000000,46063,0740504
0,-40,868000000,45809,0740533
0,-40,868000000,46066,0740592
0,-39,868000000,45812,0740622
0,-39,868000000,46069,0740681
0,-39,868000000,45815,0740710
0,-40,868000000,46072,0740769
0,-39,868000000,45818,0740799
0,-40,868000000,46075,0740858
0,-39,868000000,45821,0740888
0,-39,868000000,46078,0740947
0,-40,868000000,45824,0740976
0,-40,868000000,46081,0741035
0,-39,868000000,45827,0741065
0,-40,868000000,46084,0741124
0,-40,868000000,45830,0741153
0,-40,868000000,46087,0741213
0,-40,868000000,45833,0741242
0,-39,868000000,46090,0741301
0,-40,868000000,45836,0741331
0,-40,868000000,46093,0741390
0,-39,868000000,45839,0741419
0,-40,868000000,46096,0741478
0,-39,868000000,45842,0741508
0,-39,868000000,46099,0741567
0,-40,868000000,45845,0741597
0,-40,868000000,46102,0741656
0,-39,868000000,45848,0741685
0,-40,868000000,46105,0741744
0,-39,868000000,45851,0741774
0,-40,868000000,46108,0741833
0,-39,868000000,45854,0741862
0,-39,868000000,46111,0741921
0,-40,868000000,45857,0741951
0,-40,868000000,46114,0742010
0,-39,868000000,45860,0742040
0,-39,868000000,46117,0742099
0,-40,868000000,45863,0742128
0,-39,868000000,46120,0742187
0,-39,868000000,45866,0742217
0,-39,868000000,46123,0742276
0,-39,868000000,45869,0742306
0,-39,868000000,46126,0742365
0,-39,868000000,45872,0742394
0,-40,868000000,46129,0742453
0,-39,868000000,45875,0742483
0,-39,868000000,46132,0742542
0,-39,868000000,45878,0742571
0,-40,868000000,46135,0742630
0,-39,868000000,45881,0742660
