RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
1,1,83,-41,"['-41', '120', '-32', '-66']"
1,1,84,-41,"['-41', '120', '-32', '-66']"
1,1,85,-41,"['-41', '120', '-32', '-66']"
1,1,86,-41,"['-41', '120', '-32', '-66']"
1,1,82,-41,"['-41', '120', '-32', '-66']"
2,1,83,-33,"['-51', '-33', '0', '-36']"
2,1,84,-33,"['-51', '-33', '0', '-36']"
2,1,85,-33,"['-51', '-33', '0', '-36']"
2,1,86,-33,"['-51', '-33', '0', '-36']"
2,1,82,-33,"['-51', '-33', '0', '-36']"
3,1,83,-39,"['-43', '-60', '-36', '0']"
3,1,84,-39,"['-43', '-60', '-36', '0']"
3,1,85,-39,"['-43', '-60', '-36', '0']"
3,1,86,-39,"['-43', '-60', '-36', '0']"
3,1,82,-39,"['-43', '-60', '-36', '0']"
0,1,84,-45,"[0, '-42', '-51', '-45']"
0,1,85,-45,"[0, '-42', '-51', '-45']"
0,1,86,-45,"[0, '-42', '-51', '-45']"
0,1,82,-45,"[0, '-42', '-51', '-45']"
0,1,83,-45,"[0, '-42', '-51', '-45']"
1,1,88,-41,"['-39', '120', '-33', '-60']"
1,1,89,-41,"['-39', '120', '-33', '-60']"
1,1,90,-41,"['-39', '120', '-33', '-60']"
1,1,91,-41,"['-39', '120', '-33', '-60']"
1,1,87,-41,"['-39', '120', '-33', '-60']"
2,1,88,-33,"['-50', '-33', '0', '-36']"
2,1,89,-33,"['-50', '-33', '0', '-36']"
2,1,90,-33,"['-50', '-33', '0', '-36']"
2,1,91,-33,"['-50', '-33', '0', '-36']"
2,1,87,-33,"['-50', '-33', '0', '-36']"
3,1,88,-39,"['-45', '-60', '-36', '0']"
3,1,89,-39,"['-45', '-60', '-36', '0']"
3,1,90,-39,"['-45', '-60', '-36', '0']"
3,1,91,-39,"['-45', '-60', '-36', '0']"
3,1,87,-39,"['-45', '-60', '-36', '0']"
0,1,89,-46,"[0, '-41', '-52', '-46']"
0,1,90,-46,"[0, '-41', '-52', '-46']"
0,1,91,-46,"[0, '-41', '-52', '-46']"
0,1,87,-47,"[0, '-41', '-52', '-46']"
0,1,88,-47,"[0, '-41', '-52', '-46']"
1,1,93,-41,"['-38', '120', '-33', '-54']"
1,1,94,-41,"['-38', '120', '-33', '-54']"
1,1,95,-41,"['-38', '120', '-33', '-54']"
1,1,96,-41,"['-38', '120', '-33', '-54']"
1,1,92,-41,"['-38', '120', '-33', '-54']"
2,1,93,-33,"['-51', '-33', '0', '-36']"
2,1,94,-33,"['-51', '-33', '0', '-36']"
2,1,95,-33,"['-51', '-33', '0', '-36']"
2,1,96,-33,"['-51', '-33', '0', '-36']"
2,1,92,-33,"['-51', '-33', '0', '-36']"
3,1,93,-39,"['-44', '-61', '-36', '0']"
3,1,94,-39,"['-44', '-61', '-36', '0']"
3,1,95,-39,"['-44', '-61', '-36', '0']"
3,1,96,-39,"['-44', '-61', '-36', '0']"
3,1,92,-39,"['-44', '-61', '-36', '0']"
0,1,94,-45,"[0, '-39', '-49', '-42']"
0,1,95,-45,"[0, '-39', '-49', '-42']"
0,1,96,-45,"[0, '-39', '-49', '-42']"
0,1,92,-45,"[0, '-39', '-49', '-42']"
