RxNID,TXNID,PacketNo,TxRSSI,RSSI0,RSSI1,RSSI2,RSSI3
3,1,179,-35,"['-35', '-50', '-52', '0']"
0,1,179,-42,"[0, '-48', '-52', '-36']"
0,1,180,-42,"[0, '-48', '-52', '-36']"
0,1,181,-42,"[0, '-48', '-52', '-36']"
0,1,182,-43,"[0, '-48', '-52', '-36']"
0,1,183,-43,"[0, '-48', '-52', '-36']"
1,1,184,-42,"['-46', '120', '-39', '-49']"
1,1,185,-42,"['-46', '120', '-39', '-49']"
1,1,186,-42,"['-46', '120', '-39', '-49']"
1,1,187,-42,"['-46', '120', '-39', '-49']"
1,1,188,-42,"['-46', '120', '-39', '-49']"
2,1,185,-54,"['-52', '-40', '0', '-54']"
2,1,186,-54,"['-52', '-40', '0', '-54']"
2,1,187,-54,"['-52', '-40', '0', '-54']"
2,1,188,-54,"['-52', '-40', '0', '-54']"
2,1,184,-54,"['-52', '-40', '0', '-54']"
3,1,185,-35,"['-35', '-50', '-52', '0']"
3,1,186,-35,"['-35', '-50', '-52', '0']"
3,1,187,-35,"['-35', '-50', '-52', '0']"
3,1,188,-35,"['-35', '-50', '-52', '0']"
3,1,184,-35,"['-35', '-50', '-52', '0']"
0,1,184,-44,"[0, '-47', '-52', '-36']"
0,1,185,-44,"[0, '-47', '-52', '-36']"
0,1,186,-45,"[0, '-47', '-52', '-36']"
0,1,187,-45,"[0, '-47', '-52', '-36']"
0,1,188,-45,"[0, '-47', '-52', '-36']"
1,1,189,-42,"['-46', '120', '-39', '-50']"
1,1,190,-42,"['-46', '120', '-39', '-50']"
1,1,191,-42,"['-46', '120', '-39', '-50']"
1,1,192,-42,"['-46', '120', '-39', '-50']"
1,1,193,-42,"['-46', '120', '-39', '-50']"
2,1,190,-54,"['-52', '-40', '0', '-54']"
2,1,191,-54,"['-52', '-40', '0', '-54']"
2,1,192,-54,"['-52', '-40', '0', '-54']"
2,1,193,-55,"['-52', '-40', '0', '-54']"
2,1,189,-54,"['-52', '-40', '0', '-54']"
3,1,190,-35,"['-35', '-50', '-53', '0']"
3,1,191,-35,"['-35', '-50', '-53', '0']"
3,1,192,-35,"['-35', '-50', '-53', '0']"
3,1,193,-35,"['-35', '-50', '-53', '0']"
3,1,189,-35,"['-35', '-50', '-53', '0']"
0,1,189,-44,"[0, '-47', '-52', '-36']"
0,1,190,-44,"[0, '-47', '-52', '-36']"
0,1,191,-44,"[0, '-47', '-52', '-36']"
0,1,192,-44,"[0, '-47', '-52', '-36']"
0,1,193,-44,"[0, '-47', '-52', '-36']"
1,1,194,-42,"['-46', '120', '-39', '-49']"
1,1,195,-42,"['-46', '120', '-39', '-49']"
1,1,196,-42,"['-46', '120', '-39', '-49']"
1,1,197,-42,"['-46', '120', '-39', '-49']"
1,1,198,-42,"['-46', '120', '-39', '-49']"
2,1,195,-54,"['-52', '-40', '0', '-53']"
2,1,196,-54,"['-52', '-40', '0', '-53']"
2,1,197,-54,"['-52', '-40', '0', '-53']"
2,1,198,-54,"['-52', '-40', '0', '-53']"
2,1,194,-54,"['-52', '-40', '0', '-53']"
3,1,195,-35,"['-35', '-50', '-52', '0']"
3,1,196,-35,"['-35', '-50', '-52', '0']"
3,1,197,-35,"['-35', '-50', '-52', '0']"
3,1,198,-36,"['-35', '-50', '-52', '0']"
3,1,194,-35,"['-35', '-50', '-52', '0']"
0,1,194,-48,"[0, '-47', '-52', '-36']"
0,1,195,-48,"[0, '-47', '-52', '-36']"
0,1,196,-48,"[0, '-47', '-52', '-36']"
0,1,197,-48,"[0, '-47', '-52', '-36']"
0,1,198,-48,"[0, '-47', '-52', '-36']"
1,1,199,-42,"['-45', '120', '-39', '-49']"
1,1,200,-42,"['-45', '120', '-39', '-49']"
1,1,201,-42,"['-45', '120', '-39', '-49']"
1,1,202,-42,"['-45', '120', '-39', '-49']"
1,1,203,-42,"['-45', '120', '-39', '-49']"
2,1,200,-54,"['-52', '-40', '0', '-53']"
